fecha,Original,Tendencia_ciclo
1991-01,3.542190520875804,3.4357230798845175
1991-02,3.4432524370902473,3.4381587566114518
1991-03,3.389021694572849,3.4407330320764653
1991-04,3.3908510282624094,3.4451861419625294
1991-05,3.4052937361342135,3.4497326555720473
1991-06,3.4149274369164724,3.454283152520131
1991-07,3.4167729581421056,3.4598579919916226
1991-08,3.4237997823377357,3.467917510424839
1991-09,3.457362441771093,3.478449988313619
1991-10,3.5225379552511917,3.4891092937705133
1991-11,3.5770304268528426,3.4991359877619903
1991-12,3.5555421483676226,3.508093093203518
1992-01,3.5963695284108694,3.516074050664408
1992-02,3.5387600909743795,3.523612886253903
1992-03,3.537367649515713,3.5303940364123467
1992-04,3.4360569188897796,3.537269925408868
1992-05,3.480457374786872,3.545911837463538
1992-06,3.544311569991566,3.556040687854099
1992-07,3.5554282674156896,3.5654827945756544
1992-08,3.5695610169254133,3.5724729586849286
1992-09,3.5521531982015797,3.577362494719972
1992-10,3.6194503219434155,3.581344371075138
1992-11,3.639771563412275,3.58450261532068
1992-12,3.6049484372127494,3.5888138122271833
1993-01,3.6362903315562294,3.5969932653313066
1993-02,3.6206012656623563,3.6076987578018787
1993-03,3.65651430492933,3.6169949298438557
1993-04,3.5372215516090177,3.6238615183421983
1993-05,3.589507824501869,3.629688998810766
1993-06,3.6101010304381385,3.635222036598741
1993-07,3.623370523347876,3.6407632301207986
1993-08,3.6438809561218903,3.6448187735719197
1993-09,3.609756024670495,3.6476017028877865
1993-10,3.669531545637482,3.6511796043214515
1993-11,3.723072555268271,3.6552472954590414
1993-12,3.7106738988749988,3.6590500678378337
1994-01,3.7092216715894613,3.662776281144619
1994-02,3.649489909709461,3.668023916912617
1994-03,3.691041916555752,3.6747126580092946
1994-04,3.6127134310871454,3.680176108893412
1994-05,3.648010625163633,3.684322199586174
1994-06,3.6781417333281605,3.6878574738199306
1994-07,3.6433862335730596,3.691037760793501
1994-08,3.6986862613017393,3.6942855709454254
1994-09,3.6783923051947296,3.6965236181539645
1994-10,3.72264281813381,3.697134358196501
1994-11,3.759259901904801,3.6966843185148544
1994-12,3.7287095952301903,3.6971098130988027
1995-01,3.8337398645752203,3.699485164960692
1995-02,3.749820607711254,3.7019648679300765
1995-03,3.738029339052284,3.704259560090689
1995-04,3.6198355865945664,3.7084335701415916
1995-05,3.7048012531299777,3.7144534569462735
1995-06,3.7243337671731163,3.720036703400768
1995-07,3.683844509275627,3.7245610878280786
1995-08,3.7177496282861706,3.7295355200688083
1995-09,3.707326835783404,3.734997310848323
1995-10,3.7412246046817614,3.7409401440406964
1995-11,3.8132328418782135,3.749210622994917
1995-12,3.8324161230189806,3.758370136006058
1996-01,3.849111942621553,3.7652974867365123
1996-02,3.7176907556872316,3.7105756431272616
1996-03,3.7242349217247597,3.715751427975283
1996-04,3.6357341030962305,3.7206173035649805
1996-05,3.695831462308595,3.725682012713676
1996-06,3.692561473901724,3.7312926047136807
1996-07,3.710515771965629,3.737138545384355
1996-08,3.711768010372829,3.74293718289179
1996-09,3.7144310739933446,3.749186213652804
1996-10,3.788004116565657,3.7552499843008023
1996-11,3.8283024627531974,3.760143045563835
1996-12,3.8183474923278986,3.7650187097601795
1997-01,3.8480838263558987,3.7709621971918152
1997-02,3.780068305627113,3.7766166634984897
1997-03,3.7449982488621796,3.781824338584165
1997-04,3.747803667761358,3.787633104951773
1997-05,3.7574620482819907,3.7930166723234477
1997-06,3.7654298905931385,3.79804779427234
1997-07,3.7650488694970634,3.8036419306936593
1997-08,3.7702127406322163,3.809943766267411
1997-09,3.781667753239551,3.8170160035807394
1997-10,3.8421073006901154,3.82455480556538
1997-11,3.8970762856662007,3.83266534627195
1997-12,3.9399636653969425,3.840025466158883
1998-01,4.007540430846524,3.8447915549422755
1998-02,3.8406728854556103,3.8479307452346796
1998-03,3.855725492906292,3.85130558205578
1998-04,3.794530698056199,3.8547546626756475
1998-05,3.809778461860824,3.8573904028043944
1998-06,3.8293908592673445,3.8603323704270576
1998-07,3.8159747786141187,3.8649825909235327
1998-08,3.836146963899005,3.871196508397755
1998-09,3.8366325021675096,3.878165781528595
1998-10,3.900339217429902,3.8856982685071806
1998-11,3.98342468729384,3.8926425281501076
1998-12,3.978322348595803,3.897454030835758
1999-01,3.9550305295537442,3.9010886447984467
1999-02,3.8866510281818565,3.905091206727428
1999-03,3.91973183212545,3.909624980262739
1999-04,3.850495920401761,3.914308794819958
1999-05,3.883973548655434,3.919231501876469
1999-06,3.910505603956617,3.923844952625129
1999-07,3.886915525887381,3.927867039587827
1999-08,3.908093123547917,3.931866018575473
1999-09,3.894351604913924,3.936002879593015
1999-10,3.9456225087584853,3.940545213309797
1999-11,4.028779619560807,3.9448966157731227
1999-12,4.025442393050142,3.948205202926278
2000-01,4.0091153551329635,3.950400559183963
2000-02,3.9444686983355517,3.951884930076775
2000-03,3.985084349657897,3.953084785085647
2000-04,3.865450461689867,3.9538330660183116
2000-05,3.930575773347954,3.9547153412890617
2000-06,3.939790984131125,3.956147009126691
2000-07,3.920684276295425,3.95764090174847
2000-08,3.946866095564014,3.958666790821428
2000-09,3.90913691828236,3.959316495472751
2000-10,3.955800993220246,3.961049362082889
2000-11,4.024584298865312,3.9649738321197248
2000-12,4.034051048499997,3.970046622338616
2001-01,4.046276086023248,3.9737785780667765
2001-02,3.9583544853185653,3.975633295767775
2001-03,3.9974031997123354,3.976973134968355
2001-04,3.8887258485014677,3.9788889592418015
2001-05,3.9616862340801298,3.9824425941365575
2001-06,3.9720195478793183,3.986784311141583
